market,timeframe,period_yrs,algorithm,model_id,is_valid_sample,exclusion_reason,win_rate,total_trades,net_profit_pct,cagr,sharpe_ratio,sortino_ratio,profit_factor,has_zero_losses,recovery_factor,expectancy,avg_win,avg_loss,risk_reward,max_drawdown_pct,avg_holding_bars,exposure_pct,max_consec_wins,max_consec_losses,robustness_score
NQ1!,4h,1,AlgorithmC,2,True,,0.8,10,3.6052414003214417,1.256649288650383,2.6398829757023954,5.032078864173155,2.195870871767137,False,1.915299820279629,0.3605241400321443,0.8274978473382751,-1.5073706891923797,0.5489677179417842,-1.8823378784607652,4.6,2.9889538661468484,6,1,79.44
NQ1!,4h,1,AlgorithmC,3,False,"insufficient_trades (n=4, min=10)",0.75,4,0.5949084360760681,0.34291041181611415,0.0,0.0,1.5724269938204347,False,0.5724269938204384,0.14872710901901703,0.5447274463736829,-1.0392739030449805,0.5241423312734782,-1.0392739030449738,2.25,0.5847953216374269,3,1,0.0
NQ1!,4h,2,AlgorithmA,0,True,,0.7307692307692307,26,34.790236062933324,23.196431762560366,2.9219276096022466,14.156891332069076,4.657007982419957,False,8.302937743052574,1.3380860024205123,2.3317653729095844,-1.3590437174783967,1.7157397829968262,-4.190111637539835,15.346153846153847,12.887596899224807,6,3,82.02
NQ1!,4h,2,AlgorithmA,1,True,,0.7307692307692307,26,34.790236062933324,23.196431762560366,2.9219276096022466,14.156891332069076,4.657007982419957,False,8.302937743052574,1.3380860024205123,2.3317653729095844,-1.3590437174783967,1.7157397829968262,-4.190111637539835,15.346153846153847,12.887596899224807,6,3,82.02
NQ1!,4h,2,AlgorithmA,2,True,,0.7307692307692307,26,34.790236062933324,23.196431762560366,2.9219276096022466,14.156891332069076,4.657007982419957,False,8.302937743052574,1.3380860024205123,2.3317653729095844,-1.3590437174783967,1.7157397829968262,-4.190111637539835,15.346153846153847,12.887596899224807,6,3,82.02
NQ1!,4h,2,AlgorithmA,3,True,,0.7307692307692307,26,34.790236062933324,23.196431762560366,2.9219276096022466,14.156891332069076,4.657007982419957,False,8.302937743052574,1.3380860024205123,2.3317653729095844,-1.3590437174783967,1.7157397829968262,-4.190111637539835,15.346153846153847,12.887596899224807,6,3,82.02
NQ1!,4h,2,AlgorithmB,0,True,,0.4444444444444444,27,14.818780184630722,2.641769592163326,1.7221760382515252,12.334875319162684,2.0056237125844474,False,2.8113528128136576,0.5488437105418787,2.4628908207200566,-0.9823939776006635,2.5070296407305594,-5.271049623188273,7.851851851851852,6.847545219638243,3,6,60.95
NQ1!,4h,2,AlgorithmB,1,True,,0.4444444444444444,27,14.818780184630722,2.641769592163326,1.7221760382515252,12.334875319162684,2.0056237125844474,False,2.8113528128136576,0.5488437105418787,2.4628908207200566,-0.9823939776006635,2.5070296407305594,-5.271049623188273,7.851851851851852,6.847545219638243,3,6,60.95
NQ1!,4h,2,AlgorithmB,2,True,,0.4444444444444444,27,14.818780184630722,2.641769592163326,1.7221760382515252,12.334875319162684,2.0056237125844474,False,2.8113528128136576,0.5488437105418787,2.4628908207200566,-0.9823939776006635,2.5070296407305594,-5.271049623188273,7.851851851851852,6.847545219638243,3,6,60.95
NQ1!,4h,2,AlgorithmB,3,True,,0.4444444444444444,27,14.818780184630722,2.641769592163326,1.7221760382515252,12.334875319162684,2.0056237125844474,False,2.8113528128136576,0.5488437105418787,2.4628908207200566,-0.9823939776006635,2.5070296407305594,-5.271049623188273,7.851851851851852,6.847545219638243,3,6,60.95
NQ1!,4h,2,AlgorithmC,0,True,,0.6,20,8.734260134783224,1.7815237914327984,1.3811617176356001,7.7271749402855745,1.9196444808346884,False,1.5909433090468195,0.43671300673916136,1.519307606664596,-1.1871788931489906,1.2797629872231255,-5.489988288782064,12.5,8.074935400516797,4,4,61.77
NQ1!,4h,2,AlgorithmC,1,True,,0.6,20,8.734260134783224,1.7815237914327984,1.3811617176356001,7.7271749402855745,1.9196444808346884,False,1.5909433090468195,0.43671300673916136,1.519307606664596,-1.1871788931489906,1.2797629872231255,-5.489988288782064,12.5,8.074935400516797,4,4,61.77
NQ1!,4h,2,AlgorithmC,2,True,,0.6,20,8.734260134783224,1.7815237914327984,1.3811617176356001,7.7271749402855745,1.9196444808346884,False,1.5909433090468195,0.43671300673916136,1.519307606664596,-1.1871788931489906,1.2797629872231255,-5.489988288782064,12.5,8.074935400516797,4,4,61.77
NQ1!,4h,2,AlgorithmC,3,True,,0.6,20,8.734260134783224,1.7815237914327984,1.3811617176356001,7.7271749402855745,1.9196444808346884,False,1.5909433090468195,0.43671300673916136,1.519307606664596,-1.1871788931489906,1.2797629872231255,-5.489988288782064,12.5,8.074935400516797,4,4,61.77
XU100,3h,1,AlgorithmA,0,False,zero_trades,0.0,0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
XU100,3h,1,AlgorithmA,1,False,zero_trades,0.0,0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
XU100,3h,1,AlgorithmA,2,False,"insufficient_trades (n=2, min=10)",0.0,2,-3.2436857826997616,-0.9358831670669981,0.0,0.0,0.0,False,-1.0081699876070438,-1.6218428913498808,0.0,-1.6218428913498808,0.0,-3.2173996672910867,13.0,3.4805890227576977,0,2,0.0
XU100,3h,1,AlgorithmA,3,False,zero_trades,0.0,0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
XU100,3h,1,AlgorithmB,0,False,"insufficient_trades (n=3, min=10)",0.6666666666666666,3,6.084301904769291,39.0490217441532,0.0,0.0,3.237580748638421,False,2.2375807486384147,2.028100634923097,4.401722424491656,-2.719142944214022,1.6187903743192105,-2.7191429442140294,20.333333333333332,8.165997322623829,2,1,0.0
XU100,3h,1,AlgorithmB,1,True,,0.6875,16,26.81817950781447,45.985815991925485,2.8013693332667806,12.45205596085893,3.2331103045512077,False,4.867786685589698,1.6761362192384044,3.5297744438372423,-2.401867874879039,1.4695955929778217,-5.509316911360433,10.625,22.757697456492636,5,2,79.08
XU100,3h,1,AlgorithmB,2,True,,0.6875,16,26.81817950781447,45.985815991925485,2.8013693332667806,12.45205596085893,3.2331103045512077,False,4.867786685589698,1.6761362192384044,3.5297744438372423,-2.401867874879039,1.4695955929778217,-5.509316911360433,10.625,22.757697456492636,5,2,79.08
XU100,3h,1,AlgorithmB,3,True,,0.6875,16,26.81817950781447,45.985815991925485,2.8013693332667806,12.45205596085893,3.2331103045512077,False,4.867786685589698,1.6761362192384044,3.5297744438372423,-2.401867874879039,1.4695955929778217,-5.509316911360433,10.625,22.757697456492636,5,2,79.08
XU100,3h,1,AlgorithmC,0,True,,0.5,10,6.690840836656891,3.1468010224039373,0.8879402189784784,4.572636137708222,1.5837620136254935,False,1.200777633053303,0.6690840836656893,3.6304861601048275,-2.292317992773449,1.5837620136254937,-5.5720898295245656,13.8,18.473895582329316,2,2,54.22
XU100,3h,1,AlgorithmC,1,True,,0.5,10,6.690840836656891,3.1468010224039373,0.8879402189784784,4.572636137708222,1.5837620136254935,False,1.200777633053303,0.6690840836656893,3.6304861601048275,-2.292317992773449,1.5837620136254937,-5.5720898295245656,13.8,18.473895582329316,2,2,54.22
